Mese,Ticket
feb 2018,17
feb 2016,24
nov 2017,25
nov 2016,49
nov 2015,227
giu 2015,99
gen 2018,4
gen 2017,1
gen 2019,4
gen 2016,6
lug 2015,29
lug 2018,17
lug 2017,29
mar 2018,62
giu 2016,13
mar 2017,1
giu 2018,48
mar 2016,8
nov 2018,17
ago 2015,180
ago 2016,15
ago 2017,18
ago 2018,5
mag 2018,39
set 2016,30
dic 2016,23
set 2015,203
dic 2015,26
dic 2018,18
set 2018,1
mag 2017,16
dic 2017,2
set 2017,3
apr 2018,82
apr 2017,26
ott 2015,199
ott 2017,9
mag 2015,89
ott 2016,13
ott 2018,4
