Anno-mese,Ticket
2018-04,82
2016-01,6
2015-11,227
2018-05,39
2015-10,199
2018-06,48
2018-07,17
2017-10,9
2018-01,4
2017-11,25
2018-02,17
2017-12,2
2016-03,8
2018-03,62
2016-02,24
2015-12,26
2016-09,30
2016-08,15
2016-06,13
2018-08,5
2018-09,1
2017-03,1
2016-12,23
2017-04,26
2016-11,49
2017-05,16
2016-10,13
2018-11,17
2019-01,4
2018-12,18
2017-01,1
2018-10,4
2015-08,180
2015-07,29
2015-06,99
2015-05,89
2017-07,29
2017-08,18
2017-09,3
2015-09,203
